Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Love Somebody,3:49,Maroon 5,Overexposed (Deluxe Version),Pop,1,4,20/06/2012,2012,8,"10/08/2023, 7:31 AM","06/08/2020, 10:00 PM"
Love Someone,3:25,Lukas Graham,3 (The Purple Album),Pop,1,6,07/09/2018,2018,6,"01/05/2024, 6:47 AM","08/08/2020, 9:39 AM"
Love Story,3:55,Taylor Swift,Fearless (Platinum Edition),Pop,1,6,12/09/2008,2008,8,"09/10/2022, 11:09 AM","06/08/2020, 9:40 PM"
Love the Way You Lie (feat. Rihanna),4:23,Eminem,Recovery,Hip-Hop/Rap,0,2,18/06/2010,2010,2,"29/08/2024, 8:38 AM","27/05/2024, 2:39 PM"
Love the Way You Lie (feat. Rihanna),4:23,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,19,18/06/2010,2010,16,"10/10/2023, 6:19 AM","06/08/2020, 12:21 AM"
Love Ya,2:42,Diljit Dosanjh,Love Ya - Single,Indian Pop,0,,06/01/2024,2024,1,,"10/02/2024, 10:23 AM"
Love You More,4:47,Eminem,Raw & Uncut,Hip-Hop/Rap,0,,09/10/2006,2006,,,"22/06/2024, 7:07 AM"
Love Yourself,3:54,Justin Bieber,Purpose (Deluxe),Pop,1,10,09/11/2015,2015,9,"08/09/2024, 7:53 AM","06/08/2020, 8:37 PM"
LOVE. (FEAT. ZACARI.),3:33,Kendrick Lamar,DAMN.,Hip-Hop/Rap,1,9,14/04/2017,2017,8,"12/06/2024, 7:20 AM","08/08/2020, 12:47 AM"
Lover,3:10,Diljit Dosanjh,MoonChild Era,Indian Pop,2,39,21/08/2021,2021,11,"09/07/2023, 9:50 PM","14/10/2021, 8:07 PM"
Loving Is Easy (feat. Benny Sings),2:36,Rex Orange County,Loving Is Easy (feat. Benny Sings) - Single,Alternative,0,1,11/10/2017,2017,5,"24/04/2023, 7:35 AM","03/03/2023, 7:49 PM"
Loving You Easy,2:36,Zac Brown Band,JEKYLL + HYDE,Country,1,4,28/04/2015,2015,7,"25/04/2024, 5:32 PM","20/12/2020, 11:57 AM"
Low (feat. T-Pain),3:51,Flo Rida,Mail On Sunday,Hip-Hop/Rap,0,3,09/10/2007,2007,14,"29/09/2024, 8:33 AM","01/09/2022, 10:22 PM"
LOYALTY. (feat. Rihanna),3:47,Kendrick Lamar,DAMN.,Hip-Hop/Rap,0,1,14/04/2017,2017,4,"10/06/2024, 9:40 AM","27/05/2024, 2:39 PM"
Lucky Strike,3:05,Maroon 5,Overexposed (Deluxe Version),Pop,1,8,20/06/2012,2012,10,"04/03/2024, 9:49 AM","06/08/2020, 9:59 PM"
Lucky You (feat. Joyner Lucas),4:05,Eminem,Kamikaze,Hip-Hop/Rap,1,44,31/08/2018,2018,15,"09/07/2023, 9:58 PM","06/08/2020, 12:22 AM"
Maahi Ve,4:01,A.R. Rahman,Highway (Original Motion Picture Soundtrack),Bollywood,1,11,18/01/2014,2014,13,"12/07/2023, 8:12 AM","06/08/2020, 9:39 PM"
Maan Meri Jaan,3:15,King,Champagne Talk,Indian Pop,0,22,12/10/2022,2022,5,"04/09/2024, 9:11 PM","22/12/2022, 12:40 PM"
Maan Meri Jaan (Afterlife),3:07,King & Nick Jonas,Maan Meri Jaan (Afterlife) - Single,Pop,0,5,10/03/2023,2023,6,"23/08/2024, 4:14 PM","15/03/2023, 5:45 AM"
Maeri,5:33,Palash Sen,Phir Dhoom,Indian,1,7,01/01/2000,2000,8,"19/06/2024, 10:24 AM","06/08/2020, 8:49 PM"
Magic In The Air (feat.Chawki),3:54,Magic System,Africainement vôtre,French Pop,1,4,01/01/2014,2014,6,"16/05/2023, 4:34 PM","26/04/2022, 9:05 PM"
Main Deewana Tera,3:15,Guru Randhawa & Nikhita Gandhi,Arjun Patiala (Original Motion Picture Soundtrack),Bollywood,1,1,26/06/2019,2019,6,"10/11/2023, 3:42 PM","01/05/2023, 11:04 AM"
Main Hoon,3:58,Palash Sen,Main Hoon - Single,Indian Pop,0,,20/06/2018,2018,1,,"06/08/2020, 8:50 PM"
